"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0.88625	0.0253105709141457	0.91125	0.0253105709141457	0.975	0	"model632"
0	0	1	0	0	0	"model633"
0	0	1	0	0	0	"model634"
0.69125	0.021286732957408	0.96625	0.021286732957408	0.725	0	"model635"
-0.00125	0.00395284707521047	0.99875	0.00395284707521046	0	0	"model636"
0	0	1	0	0	0	"model637"
0	0	1	0	0	0	"model638"
0	0	1	0	0	0	"model639"
0	0	1	0	0	0	"model640"
0	0	1	0	0	0	"model641"
0.68875	0.016083549221349	0.95125	0.016083549221349	0.7375	0	"model642"
0	0	1	0	0	0	"model643"
0	0	1	0	0	0	"model644"
0	0	1	0	0	0	"model645"
0	0	1	0	0	0	"model646"
0.66875	0.0258534867624809	0.96875	0.025853486762481	0.7	0	"model647"
0.8875	0.025	0.9	0.025	0.9875	0	"model648"
0.41125	0.00395284707521046	0.98625	0.0039528470752105	0.425	0	"model649"
0	0	1	0	0	0	"model650"
0	0	1	0	0	0	"model651"
0	0	1	0	0	0	"model652"
0	0	1	0	0	0	"model653"
0.61125	0.0181142209327368	0.97375	0.0181142209327368	0.6375	0	"model654"
0	0	1	0	0	0	"model655"
0.83625	0.0259874435491878	0.92375	0.0259874435491878	0.9125	0	"model656"
0	0	1	0	0	0	"model657"
0.0225	0.0052704627669473	0.9975	0.00527046276694728	0.025	0	"model658"
0	0	1	0	0	0	"model659"
0.185	0.0052704627669473	0.9975	0.00527046276694728	0.1875	0	"model660"
0.17375	0.00395284707521047	0.99875	0.00395284707521046	0.175	0	"model661"
0	0	1	0	0	0	"model662"
0.6775	0.0153659074288215	0.9775	0.0153659074288215	0.7	0	"model663"
0.7575	0.0197202659436654	0.97	0.0197202659436654	0.7875	0	"model664"
0.15	0	1	0	0.15	0	"model665"
0.28375	0.0084368569713819	0.99625	0.00843685697138191	0.2875	0	"model666"
0	0	1	0	0	0	"model667"
0	0	1	0	0	0	"model668"
0	0	1	0	0	0	"model669"
0	0	1	0	0	0	"model670"
0.8	0.0377307714089059	0.8	0.0377307714089059	1	0	"model671"
0.27875	0.0132418738183922	0.99125	0.0132418738183922	0.2875	0	"model672"
0	0	1	0	0	0	"model673"
