"X","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","lon","lat","mess","analog"
2074,1.49988460540771,-3.50095582008362,1,0.00371637800708413,0.000151339918375015,1.36534727062099e-05,1,-2.04193,43.2891,-20.3646225500238,0
2078,0.149646058678627,1.74024593830109,1,0.00539779057726264,0.00144251191522926,1.40957334693326e-09,1,-2.62527,42.4558,-40.1413092484929,0
2082,1.06024038791656,0.740636169910431,1,0.0050271600484848,0.0063399882055819,3.04724699162762e-06,1,2.70807,41.7058,-26.8040076269636,0
2083,0.605998635292053,0.991576552391052,1,0.0051177516579628,0.00358839216642082,1.22670996915986e-07,1,2.12473,41.4558,-33.45720001936,0
2089,0.360515624284744,3.23042941093445,1,0.00600134115666151,0.000973957241512835,2.48659842716492e-10,1,-3.9586,40.2891,-37.0527429034297,0
2095,0.412386924028397,3.24779987335205,1,0.00600875820964575,0.000853099336382002,3.52778195544801e-10,1,-3.29193,40.1225,-36.2929938604494,0
2103,1.51762902736664,2.54583954811096,1,0.00571616273373365,0.000876019650604576,2.96288567369629e-06,1,-0.0419328,39.9558,-20.1047233828897,0
2104,1.50280725955963,2.55862402915955,1,0.00572136277332902,0.000876019650604576,2.64920890913345e-06,1,-0.458599,39.4558,-20.3218149915886,0
2110,1.99941730499268,1.00716638565063,1,0.00512343272566795,0.00358839216642082,0.000372956768842414,1,-9.29193,38.7058,-13.0480622879395,0
2111,2.01113486289978,2.05040621757507,1,0.00551822315901518,0.000780226080678403,0.000103326397947967,1,-8.7086,37.1225,-12.8764374501201,0
2112,2.2981379032135,2.62758684158325,1,0.00574949476867914,0.000872493430506438,0.000155409637955017,1,-4.4586,36.7058,-8.67275860867211,0
2113,2.47163581848145,1.62574136257172,1,0.0053539932705462,0.00172471289988607,0.00156905874609947,1,-5.29193,36.3725,-6.13156770473605,0
1,-1.99404764175415,1.07917404174805,0,0.00514975609257817,0.00348295783624053,1.76077900352774e-17,0,22.375,54.0416666666667,-71.5395823859634,0
2,-1.7129043340683,1.74166417121887,0,0.00539833540096879,0.00144251191522926,7.99855528197951e-17,0,22.0416666666667,52.625,-67.4217299317111,0
3,-0.914209604263306,2.20234537124634,0,0.00557819148525596,0.000798442168161273,6.75216447424548e-14,0,26.375,45.0416666666667,-55.7234004199844,0
4,0.0004366826324258,-0.359201699495316,0,0.00464856624603271,0.00262861326336861,6.67651489649757e-09,0,2.125,44.2916666666667,-42.3267505467644,0
5,-1.37722313404083,1.40339386463165,0,0.00526995351538062,0.00252729118801653,4.79354029004632e-15,0,18.5416666666667,53.125,-62.5050713608302,0
6,1.56498527526855,-8.83118343353271,0,0.00292182341217995,0.0019761233124882,2.45806196577658e-12,0,-5.20833333333334,56.7916666666667,-19.4111054438671,0
7,1.02557170391083,-0.645915389060974,0,0.00455462466925383,0.00301363016478717,6.3389411479875e-06,0,17.7083333333333,43.2083333333333,-27.3117932352848,0
8,-3.76371812820435,0.736273527145386,0,0.00502559915184975,0.0063399882055819,3.15840801225445e-26,0,29.0416666666667,64.625,-97.4596087804366,0
9,0.72217583656311,-2.40024852752686,0,0.00401960732415318,0.000597380450926721,8.09388325251348e-07,0,-4.54166666666669,48.625,-31.7555746905553,0
10,-2.82597303390503,0.342453837394714,0,0.00488667655736208,0.00629326468333602,7.06652561706452e-21,0,16.7916666666667,62.4583333333333,-83.7246350767826,0
11,-0.840849220752716,-0.74823659658432,0,0.00452155852690339,0.00313387648202479,1.1454858762916e-11,0,6.29166666666666,50.875,-54.6489048619343,0
