"X","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","lon","lat","mess","analog"
395,-2.39363098144531,2.02002000808716,1,0.809645235538483,0.321762770414352,0.481493443250656,1,-8.4586,43.2891,0.316102640386761,1
397,-2.4312047958374,1.79323256015778,1,0.813682198524475,0.318724721670151,0.515072405338287,1,-9.04193,43.1225,0.297508367422834,1
402,-2.59429550170898,2.84626770019531,1,0.847964227199554,0.385611325502396,0.284381717443466,1,-8.79193,42.7058,0.26031982149498,1
408,-2.59332871437073,2.46157264709473,1,0.847490191459656,0.409326463937759,0.347131639719009,1,-7.62527,42.5391,0.26031982149498,1
416,-2.62278151512146,3.16904711723328,1,0.856114208698273,0.329683810472488,0.231512069702148,1,-8.54193,42.2891,0.26031982149498,1
435,-2.77628087997437,0.0178823154419661,1,0.850128769874573,0.426111072301865,0.643347680568695,1,2.62473,42.0391,0.204537002603198,1
439,-2.82255911827087,-0.740531980991364,1,0.850260555744171,0.424929738044739,0.655509352684021,1,1.87473,41.9558,0.185942729639271,1
442,-2.28748488426208,2.78524279594421,1,0.80100005865097,0.31369411945343,0.357946902513504,1,-8.79193,41.8725,0.316102640386761,1
450,-2.29857802391052,2.76354026794434,1,0.805271923542023,0.31369411945343,0.35978427529335,1,-7.4586,41.7891,0.316102640386761,1
451,-2.28740119934082,-1.84813237190247,1,0.751615047454834,0.237282231450081,0.782723486423492,1,0.791401,41.7891,0.316102640386761,1
474,-2.00143694877625,1.97840440273285,1,0.739303588867188,0.285569071769714,0.587159097194672,1,-8.29193,41.6225,0.743770918557084,1
482,-2.17104887962341,-0.325470417737961,1,0.741413056850433,0.345489591360092,0.906274855136871,1,2.2914,41.6225,0.390479732242469,1
509,-1.46948182582855,-2.00069642066956,1,0.553889632225037,0.397738724946976,0.815069556236267,1,0.291401,41.4558,2.00818148010413,1
522,-2.52477884292603,1.08016169071198,1,0.827838540077209,0.403754681348801,0.614259600639343,1,-7.7086,41.3725,0.278914094458907,1
524,-2.05306172370911,0.974897682666779,1,0.739427328109741,0.337645262479782,0.787306666374207,1,-7.04193,41.3725,0.632205280773522,1
531,-1.88308715820312,2.07362580299377,1,0.7142373919487,0.272583335638046,0.587459206581116,1,-8.7086,41.2891,0.873930829304574,1
542,-2.15227699279785,-0.238739416003227,1,0.739069581031799,0.313153624534607,0.908127546310425,1,1.87473,41.2891,0.427668278170324,1
572,-1.74343430995941,-0.901635468006134,1,0.634529590606689,0.367189139127731,0.979844808578491,1,1.20807,41.1225,1.24581628858312,1
579,-2.11574816703796,1.7969970703125,1,0.761748135089874,0.278369963169098,0.601789891719818,1,-8.29193,40.9558,0.483451097062105,1
591,-1.65660333633423,1.02412617206573,1,0.646537363529205,0.318269729614258,0.848578870296478,1,-8.7086,40.6225,1.54332465600595,1
597,-1.89146935939789,2.4321277141571,1,0.723889052867889,0.298878282308578,0.503863573074341,1,-7.87527,40.6225,0.873930829304574,1
620,-1.82849764823914,0.421023547649384,1,0.683564245700836,0.281996190547943,0.924179911613464,1,-7.29193,40.3725,1.00409074005206,1
621,-1.15292537212372,-0.987227499485016,1,0.479099929332733,0.525093853473663,0.910666584968567,1,0.374734,40.3725,4.3882484194868,1
629,-1.2385162115097,0.327307254076004,1,0.527973115444183,0.489740639925003,0.935368001461029,1,-8.4586,40.2058,3.4957233172183,1
634,-2.1282901763916,-0.647960722446442,1,0.737723112106323,0.349257439374924,0.923560678958893,1,-5.9586,40.2058,0.483451097062105,1
656,-1.29997420310974,-1.99994266033173,1,0.510717213153839,0.395951241254807,0.788170278072357,1,-5.29193,39.9558,2.97508367422834,1
657,-1.52740800380707,-1.20413792133331,1,0.578632652759552,0.578525960445404,0.95051646232605,1,-0.291933,39.9558,1.785050204537,1
