"X","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","lon","lat","mess","analog"
2940,-3.35709881782532,-0.914122939109802,0,1.11334147732123e-05,0.0223201606422663,6.95983765411357e-12,0,19.2083333333333,44.7916666666667,-6.80789017583483,0
2941,-4.83780670166016,1.06707227230072,0,1.53767177835107e-05,0.0304588060826063,8.74487114665978e-12,0,8.54166666666666,46.0416666666667,-28.8643614907403,0
2942,-3.37581062316895,1.57980990409851,0,1.76807625393849e-05,0.0332571044564247,3.51979991819462e-08,0,-3.70833333333334,48.625,-7.08661929068427,0
2943,-5.47749519348145,-1.6992609500885,0,8.89630609890446e-06,0.0143161453306675,3.37736396539329e-19,0,28.2083333333333,62.5416666666667,-38.3930950271555,0
2944,-2.61754179000854,-0.370791494846344,0,1.27353278003284e-05,0.0226377807557583,2.16884288306574e-09,0,15.875,43.9583333333333,0.0396589331746976,1
2945,-1.21635234355927,-2.38257360458374,0,8.57442937558517e-05,0.000737801659852266,8.18151213444196e-10,0,-4.04166666666669,38.7916666666667,0.376759865159627,1
2946,-6.83991098403931,0.481994062662125,0,1.26554850794491e-05,0.0303087569773197,5.62353817719531e-18,0,8.04166666666666,60.5416666666667,-58.6874995693856,0
2947,-4.26624441146851,-0.833038806915283,0,1.09723241621396e-05,0.0223201606422663,6.60971318368168e-14,0,21.0416666666667,54.4583333333333,-20.3504287995438,0
2948,-3.28687453269958,-2.27602815628052,0,8.62209435581462e-06,0.0133104221895337,1.90676569314634e-14,0,27.7916666666667,45.375,-5.76183649610823,0
2949,-3.76851177215576,-0.875376880168915,0,1.10747678263579e-05,0.0223201606422663,8.96914216074601e-13,0,21.0416666666667,43.7916666666667,-12.9362549430086,0
2950,-3.43254208564758,-0.300990253686905,0,1.25293445307761e-05,0.0303087569773197,5.65572345900822e-11,0,2.45833333333331,46.7916666666667,-7.93168528139936,0
2951,-4.17107152938843,0.859007596969604,0,1.46268412208883e-05,0.0312996320426464,1.115065331736e-10,0,-5.95833333333334,42.9583333333333,-18.932743402935,0
2952,-4.798996925354,2.18245625495911,0,1.88562025869032e-05,0.0347045361995697,4.72622219138685e-10,0,-2.375,54.4583333333333,-28.2862550815154,0
2953,-6.0510368347168,-0.168124571442604,0,1.17199288069969e-05,0.0219899080693722,3.26436207744987e-17,0,10.9583333333333,62.875,-46.9365119265433,0
2954,-4.01601982116699,-1.40614449977875,0,1.00028591987211e-05,0.0184378083795309,1.86641355175892e-14,0,22.4583333333333,50.5416666666667,-16.6231092123908,0
2955,-5.21815347671509,-1.30990445613861,0,9.74941940512508e-06,0.0216862708330154,1.71828193781334e-17,0,14.5416666666667,61.7916666666667,-34.5299676682324,0
2956,-6.22185039520264,0.226973846554756,0,1.21372240755591e-05,0.0226377807557583,8.17601596361868e-17,0,17.2916666666667,68.5416666666667,-49.4809330363272,0
2957,-4.91158866882324,0.21161724627018,0,1.28413785205339e-05,0.0307138953357935,1.84885621894691e-13,0,13.9583333333333,55.7916666666667,-29.9634100337082,0
2958,-5.37977933883667,-1.46901571750641,0,9.24473442864837e-06,0.0190056152641773,2.44428520927939e-18,0,28.7916666666667,60.625,-36.9375297745399,0
2959,-4.88867235183716,-1.82854878902435,0,8.86699854163453e-06,0.0143161453306675,8.6630848891444e-18,0,11.2083333333333,60.7916666666667,-29.622050948797,0
2960,-4.34686613082886,-0.994516432285309,0,1.06297411548439e-05,0.0219291131943464,1.93188360816422e-14,0,16.125,57.9583333333333,-21.5513615830072,0
2961,-6.19098615646362,-2.11223244667053,0,8.04182673164178e-06,0.00567647814750671,1.58218386015744e-22,0,28.625,68.375,-49.0211825319667,0
2962,-4.64236688613892,1.12971472740173,0,1.51360309246229e-05,0.0304588060826063,2.94167884495877e-11,0,16.125,44.2916666666667,-25.9531102359212,0
2963,-3.98995018005371,-1.66413748264313,0,9.52852860791609e-06,0.0189587324857712,6.10010893997682e-15,0,22.125,51.4583333333333,-16.2347785377977,0
2964,-4.22073888778687,0.144666403532028,0,1.29455911519472e-05,0.0307138953357935,5.83609245999317e-12,0,5.04166666666666,48.5416666666667,-19.6725832307376,0
2965,-4.96845054626465,0.728290498256683,0,1.44036748679355e-05,0.0274293441325426,1.17852049733719e-12,0,12.9583333333333,48.9583333333333,-30.8104186722048,0
2966,-4.27922105789185,-1.0951099395752,0,1.04331829788862e-05,0.0223389323800802,1.77639207597086e-14,0,22.0416666666667,54.4583333333333,-20.5437275809745,0
2967,-3.39179444313049,-1.66617929935455,0,9.66767311183503e-06,0.0189587324857712,2.00952508756444e-13,0,24.7083333333333,43.125,-7.3247126177565,0
2968,-4.33904933929443,-1.06284260749817,0,1.05728313428699e-05,0.0223389323800802,1.45724208931329e-14,0,25.7083333333333,45.2916666666667,-21.4349234657148,0
2969,-2.74227905273438,-0.96586537361145,0,1.09643960968242e-05,0.0219291131943464,1.31087862786927e-10,0,-3.625,42.5416666666667,0.0396589331746976,1
2970,-0.992735624313354,-2.05584096908569,0,0.000112300760520156,0.00116863602306694,8.20342727081425e-09,1,-4.04166666666669,37.2916666666667,0.49573666468372,1
2971,-4.32050848007202,-0.914755344390869,0,1.08454996734508e-05,0.0219291131943464,3.29302116987545e-14,0,19.7083333333333,53.7916666666667,-21.1587407465861,0
2972,-4.23573303222656,0.103418923914433,0,1.29314694277127e-05,0.0307138953357935,4.56898841677544e-12,0,16.0416666666667,45.375,-19.8959344537142,0
2973,-6.00168037414551,-2.23433375358582,0,7.88175020716153e-06,0.00428916094824672,2.98472579062306e-22,0,18.7083333333333,65.9583333333333,-46.2013032005814,0
2974,-0.580649614334106,-0.605790317058563,0,0.000181517447344959,0.00250472431071103,4.12176405006903e-06,0,-8.625,37.125,1.11045012889153,1
2975,-3.60355830192566,-0.962578237056732,0,1.09702177724103e-05,0.0223201606422663,1.50727932739236e-12,0,11.875,52.875,-10.4791251308801,0
2976,-2.70587110519409,-0.840360283851624,0,1.16936334961792e-05,0.0223201606422663,2.55250404146423e-10,0,11.4583333333333,42.7916666666667,0.0396589331746976,1
2977,-4.04522371292114,-0.925612509250641,0,1.08913282019785e-05,0.0219291131943464,1.52556786647828e-13,0,18.5416666666667,53.9583333333333,-17.0581273599885,0
