"speciesID","N","mu1","mu2","sigma11","sigma12","sigma22","def.pos"
"acrcri","7","-5.8743666012722","1.72208183995191","32.3241687025288","-5.49432805718015","1.38543385306993","1"
"acrtri","43","4.95237174578684","5.77188856335784","3.55731764841631","0.472654600519945","17.8267054160187","1"
"agafis","32","5.26374193427011","0.406491750466377","1.09147504033169","-0.435704181538799","7.07133700164976","1"
"agaper","19","-27.3501392388917","70.5866734170248","26.7074000321021","-38.8076907193485","85.626047935944","1"
"agaros","67","6.68866644301477","-3.3484160127233","2.30753104708747","-2.774940296265","7.72528447742343","1"
"amaama","295","7.28070236761929","2.80029487572894","6.51700245611653","0.0775899234037863","2.50388383543232","1"
"araacu","10","-0.517377973885337","3.03312543293172","4.20421824420344","-1.74022298643872","2.44455577245083","1"
"chrpic","19","-0.77054438001823","0.372722183261314","2.5394630518447","1.71480657071731","2.29474638539315","1"
"estast","789","-2.06691634881823","-0.278303587001627","1.96821431887346","0.444387051109902","5.10207278658852","1"
"estmel","200","1.36291390434001","10.5665382532365","2.12052736886915","-3.07665934568384","14.6969464092705","1"
"esttro","90","20.1510690999127","-7.92227365029053","20.7833522263364","-11.7466403864757","7.7542892879996","1"
"eupafe","302","0.163260148720976","1.04422006505119","2.06872269133842","0.345318855801958","4.81219532272282","0"
"myimon","464","1.37344020283005","-0.0360510001789046","2.01515453923809","1.46810762025419","11.0201529993324","1"
"nannen","40","5.22782950133353","0.61356925601474","0.784128508510689","0.361548999814212","1.92636895516101","1"
"plomel","118","0.966563674037235","2.59123492105154","2.93703811509975","-1.94593191219686","1.9541616067285","0"
"poicep","129","4.6461756472329","5.04970290703553","0.971593978832548","1.05565899700649","5.7408841098365","1"
"psieup","288","9.26511225149453","16.1448703104351","8.08619298744409","5.50593978775434","37.8255040845319","1"
"psikra","835","8.52248832653864","-2.84187843410871","10.5298358066657","-7.91513373654039","10.3309759903861","1"
"syrrev","24","0.799194224873022","2.04927544273017","1.27102679748293","-0.083639949919077","0.600415441432332","1"
"vidmac","890","-2.6652493355234","2.12411198923481","5.27067292347566","0.892536797358495","6.59910269518436","1"
