"speciesID","N","mu1","mu2","sigma11","sigma12","sigma22","def.pos"
"acrcri","7","1.13163900242102","0.426911649428066","1.14683221270031","0.183863491505167","0.217291052168412","1"
"acrtri","43","3.79397746388574","0.0661498949910645","2.4706838046604","-1.73587994208434","6.33736538308249","1"
"agafis","32","-0.655375783034452","2.46497263417069","0.963815568556327","-0.7585336914074","1.19774583711054","1"
"agaper","19","1.28934597401572","0.648659257666007","0.31397690250156","-0.302359564122018","0.999234498298429","1"
"agaros","67","0.649525256492521","-1.91934251641103","0.379087393102876","0.149164266508472","0.832937426543132","1"
"amaama","295","4.9974410254094","2.78761522893807","7.85633241458304","-3.25566857858988","5.02164899445941","1"
"araacu","10","-0.166787896258086","2.93444721111195","4.14745578248105","-1.50639667134598","2.43309954602199","1"
"chrpic","19","-0.128382673246705","1.37890071013947","2.55984946085444","1.38885585298391","0.979077837698297","1"
"estast","789","-1.64080704257953","-0.486487443933293","1.77336266671302","0.580027448532446","6.86754730724751","1"
"estmel","200","3.00512808016542","7.03699683795467","3.3675083267226","-2.28366811001405","9.34282190417328","1"
"esttro","90","30.4920129997594","-30.4491157487926","29.6053275259045","-33.4639826294418","39.3645874876883","1"
"eupafe","302","-40.7287072052612","-20.1956659013926","50.4410548936843","24.4287837916994","17.7349100695454","2"
"myimon","464","-0.356519429915589","0.622152607697656","1.06211460168488","-0.476129259106386","5.8404047054528","1"
"nannen","40","1.1445017539301","1.13278473211623","0.393676318523657","-0.079196552397831","0.99566409754395","1"
"plomel","118","1.70331465843381","1.44613777590625","1.84747077031377","-1.967557835681","3.32213588385166","0"
"poicep","129","3.17723517760621","2.62042155208072","0.458878320261249","-0.364407374148699","3.25020232249914","1"
"psieup","288","4.51925890652715","2.3994535282139","3.45646473492285","0.156420550705034","6.32491071751541","1"
"psikra","835","5.85177779732402","2.87944631840196","7.33118456740566","1.88318789390821","18.9475206607721","1"
"syrrev","24","0.742133430477887","2.00330115564669","1.40698208632099","0.180028377623956","0.399888230380696","1"
"vidmac","890","-12.0918895170046","2.55996747579202","17.7966999293822","-0.563734886342065","12.0850339818919","1"
