"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","mess","analog"
1486,-7.79193,43.7058,-2.492107629776,1.87566483020782,1,0.354080975055695,0.0872807502746582,0.0379952192306519,1,0.272029534635189,1
1487,-7.04193,43.4558,-2.45013093948364,1.67493736743927,1,0.342814475297928,0.0961993336677551,0.0477429442107677,1,0.272029534635189,1
1488,-5.4586,43.4558,-2.9789891242981,1.17935335636139,1,0.411063313484192,0.148175358772278,0.027457021176815,1,0.155445448362965,1
1489,-8.7086,42.7058,-2.47682023048401,2.74426460266113,1,0.376209527254105,0.0973395854234695,0.0171390268951654,1,0.272029534635189,1
1490,3.0414,42.2058,-1.75290060043335,-0.792005062103271,1,0.189280673861504,0.144579038023949,0.307340562343597,1,1.57388516467502,1
1491,-1.2086,41.9558,-1.79028677940369,-1.53786444664001,1,0.179635316133499,0.124632716178894,0.273719370365143,1,1.4573010784028,1
1492,2.70807,41.7058,-2.09934854507446,-0.1912981569767,1,0.241699576377869,0.112199425697327,0.194897085428238,1,0.777227241814826,1
1494,2.12473,41.4558,-2.45000052452087,-0.425448089838028,1,0.280401647090912,0.122786603868008,0.127787947654724,1,0.272029534635189,1
1496,-8.62527,41.1225,-1.784259557724,1.70504236221313,1,0.249450698494911,0.0389362648129463,0.123461157083511,1,1.47673175944817,1
1500,0.791401,40.7058,-1.22970795631409,-0.499770432710648,1,0.145158067345619,0.25511509180069,0.494165241718292,1,4.50791800252599,1
1501,-8.54193,40.5391,-1.53422784805298,0.814593970775604,1,0.200131058692932,0.0821993872523308,0.275262832641602,1,2.4482658117167,1
1503,0.374734,40.3725,-1.152228474617,-0.986183702945709,1,0.131533235311508,0.262325465679169,0.512270212173462,1,5.05197707179637,1
1507,-8.79193,40.1225,-1.38043677806854,0.41215455532074,1,0.176150277256966,0.102322302758694,0.373067677021027,1,3.32264645875838,1
1510,-3.54193,40.1225,-1.51386761665344,-2.19456100463867,1,0.140575259923935,0.110220462083817,0.282713413238525,1,2.50655785485281,1
1513,-0.375266,39.5391,-0.940024733543396,-1.05211937427521,1,0.114324033260345,0.259756922721863,0.583831965923309,1,6.89789177110658,1
1514,-8.54193,39.4558,-0.979518532752991,-0.255462259054184,1,0.129073932766914,0.262838631868362,0.590010344982147,1,6.54813951228991,1
1517,-9.29193,39.3725,-1.43241858482361,0.441822439432144,1,0.182858049869537,0.10807690769434,0.351268976926804,1,2.93403283785097,1
1529,-8.87527,39.0391,-0.937006771564484,-0.0731595829129219,1,0.12907400727272,0.208476230502129,0.597876965999603,1,6.89789177110658,1
1532,-6.7086,39.0391,-0.84906530380249,-1.67135226726532,1,0.0999321341514587,0.216522365808487,0.525219440460205,1,7.86942582337511,1
1539,-0.541933,38.9558,-0.973051965236664,-1.73464286327362,1,0.108911119401455,0.218614101409912,0.481569677591324,1,6.64529291751676,1
1559,-0.0419328,38.6225,-0.870446741580963,-1.88580071926117,1,0.100765608251095,0.193549260497093,0.47982332110405,1,7.61682696978529,1
1560,-9.12527,38.5391,-0.972320079803467,0.0264857914298773,1,0.133585199713707,0.207928717136383,0.575328350067139,1,6.64529291751676,1
1564,-8.4586,38.5391,-0.803284108638763,-0.529059410095215,1,0.112811870872974,0.263750433921814,0.665341794490814,1,8.27747012532789,1
1575,-8.04193,38.2058,-0.636830508708954,-1.02975106239319,1,0.0958784371614456,0.267585277557373,0.68874180316925,1,10.2788302730011,1
1576,-8.79193,38.1225,-0.888318836688995,-0.160742849111557,1,0.124949045479298,0.238281950354576,0.623720586299896,1,7.40308947828621,1
1579,-7.12527,37.9558,-0.825345873832703,-1.2616890668869,1,0.104368284344673,0.236432611942291,0.598001778125763,1,8.10259399591956,1
1581,-5.79193,37.6225,-0.364109396934509,-1.55157995223999,1,0.0753921642899513,0.21336168050766,0.660268068313599,1,13.89293694744,1
1584,-8.79193,37.3725,-0.86630654335022,-0.204811468720436,1,0.122989043593407,0.238281950354576,0.635097324848175,1,7.65568833187603,1
1586,-6.62527,37.2891,-0.488177299499512,-1.34339046478271,1,0.0838119760155678,0.313234657049179,0.67937695980072,1,12.474497231128,1
1593,-6.04193,37.2058,-0.380019247531891,-1.20080494880676,1,0.079815611243248,0.263139605522156,0.732652425765991,1,13.6986301369863,1
