"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","mess","analog"
2329,-1.7086,55.0391,-3.21710705757141,-1.59422242641449,1,0.0205218382179737,0.0202673729509115,0.00360826472751796,1,14.5700268443951,1
2333,-1.12527,54.5391,-3.28828048706055,-2.05169034004211,1,0.0226403269916773,0.02820217423141,0.00352830812335014,1,14.3848930852541,1
2334,-2.7086,54.1225,-3.44848656654358,-3.88057518005371,1,0.0356579087674618,0.0385577492415905,0.00356928608380258,1,11.0709987966306,1
2336,-2.2086,53.7058,-3.8061056137085,-4.14870643615723,1,0.0333093628287315,0.0503339357674122,0.00267435144633055,1,9.57141534758863,1
2337,-3.04193,53.6225,-3.13072323799133,-2.18437385559082,1,0.0248284731060266,0.0322476103901863,0.0040832138620317,1,15.0143478663334,1
2338,-1.29193,53.5391,-3.23169541358948,-1.64979219436646,1,0.0208843033760786,0.0202673729509115,0.00358016835525632,1,14.551513468481,1
2358,-4.2086,53.2058,-2.97503423690796,-2.79117274284363,1,0.031158335506916,0.0441359169781208,0.00488836457952857,1,15.5882625196705,1
2359,-1.37527,52.9558,-3.49016714096069,-1.74457383155823,1,0.0195351876318455,0.0176561176776886,0.00288186594843864,1,13.5888179209479,1
2360,-2.87527,52.8725,-3.34593868255615,-1.77097225189209,1,0.0209319237619638,0.0206391047686338,0.00327685032971203,1,14.181245950199,1
2361,4.87473,52.8725,-3.30820226669312,-1.73107409477234,1,0.0210729837417603,0.0206391047686338,0.00337438215501606,1,14.2923262056836,1
2362,-2.12527,52.7891,-3.52857494354248,-1.93636786937714,1,0.0202039498835802,0.0201527252793312,0.002833312144503,1,13.5147644172915,1
2367,1.62473,52.5391,-3.25831151008606,-1.254922747612,1,0.0184247940778732,0.0171764362603426,0.00338089768774807,1,14.4774599648246,1
2369,-1.54193,52.4558,-3.4265398979187,-1.59771275520325,1,0.0193195622414351,0.0176074374467134,0.00300842127762735,1,13.7184115523466,1
2370,-0.458599,52.4558,-3.37346220016479,-1.29653608798981,1,0.0180714726448059,0.0171764362603426,0.00306903594173491,1,13.9405720633157,1
2376,0.708067,52.3725,-3.23335742950439,-1.31401634216309,1,0.0191865582019091,0.0171764362603426,0.00347275985404849,1,14.5330000925669,1
2379,4.5414,52.3725,-3.21818065643311,-1.811891913414,1,0.0223485883325338,0.0288492273539305,0.00367254507727921,1,14.5700268443951,1
2394,6.37473,52.2891,-3.57701110839844,-1.60401022434235,1,0.0187041815370321,0.0176561176776886,0.00263601145707071,1,13.3481440340646,1
2411,-1.12527,52.0391,-3.40429353713989,-1.46810793876648,1,0.018798116594553,0.0176074374467134,0.00303287291899323,1,13.8294918078312,1
2416,1.20807,52.0391,-3.16775226593018,-1.08107221126556,1,0.018657211214304,0.0146064748987556,0.00360155710950494,1,14.8107007312783,1
2423,5.37473,52.0391,-3.49130368232727,-1.69353973865509,1,0.0199887752532959,0.0206391047686338,0.00286608771421015,1,13.5703045450338,1
2425,4.0414,51.9558,-3.27348947525024,-1.90755259990692,1,0.0224959664046764,0.0288492273539305,0.00353019894100726,1,14.4034064611682,1
2434,-0.125266,51.8725,-3.3126814365387,-1.37401401996613,1,0.0190903935581446,0.0171764362603426,0.00325856986455619,1,14.2552994538554,1
2438,-2.87527,51.7891,-3.01040005683899,-1.99241530895233,1,0.0246531385928392,0.032369177788496,0.00445061177015305,1,15.4771822641859,1
2450,7.87473,51.7058,-3.06594276428223,-1.21330428123474,1,0.0214995685964823,0.0241178218275309,0.0039763581007719,1,15.1994816254744,1
2451,-3.9586,51.6225,-3.12226414680481,-3.22111940383911,1,0.0336121991276741,0.0349789708852768,0.00446962704882026,1,15.0884013699898,1
2452,-2.12527,51.6225,-3.30224227905273,-1.88339805603027,1,0.0218057557940483,0.0288492273539305,0.00343646830879152,1,14.2923262056836,1
2469,-0.875266,51.5391,-3.16701436042786,-1.42494010925293,1,0.0205737892538309,0.0199469774961472,0.00371297518722713,1,14.8107007312783,1
2501,0.208067,51.4558,-3.11340022087097,-1.16374218463898,1,0.0195540655404329,0.017003558576107,0.00380149879492819,1,15.125428121818,1
2504,5.37473,51.4558,-3.48348474502563,-1.50452268123627,1,0.0190578810870647,0.0176074374467134,0.00283805397339165,1,13.5888179209479,1
2522,1.20807,51.3725,-2.96067237854004,-1.02162218093872,1,0.0197078473865986,0.0162878930568695,0.00427895272150636,1,15.6252892714987,1
2524,6.62473,51.3725,-3.06020617485046,-1.53113520145416,1,0.0233974140137434,0.031346395611763,0.00410561123862863,1,15.2365083773026,1
2542,4.37473,51.2891,-3.20663475990295,-1.60755455493927,1,0.0221031326800585,0.0289026331156492,0.00364514579996467,1,14.6255669721374,1
2561,-0.375266,51.1225,-2.95742058753967,-1.53827822208405,1,0.022641696035862,0.0277322102338076,0.00448246579617262,1,15.6623160233269,1
2569,-2.2086,51.0391,-3.00672221183777,-1.9316817522049,1,0.0246024802327156,0.032369177788496,0.00444220937788486,1,15.4956956401,1
2577,3.20807,50.9558,-3.29230785369873,-1.59738528728485,1,0.0209409203380346,0.0202673729509115,0.00338196288794279,1,14.3478663334259,1
2582,4.95807,50.9558,-3.11503982543945,-1.56211078166962,1,0.0230382941663265,0.0322656780481339,0.00392811186611652,1,15.1069147459039,1
2586,6.95807,50.9558,-3.03170466423035,-1.53959882259369,1,0.0237093735486269,0.031346395611763,0.00420942762866616,1,15.3846153846154,1
2593,4.0414,50.8725,-3.38326811790466,-1.6712327003479,1,0.0207603517919779,0.0202673729509115,0.00314466399140656,1,13.9035453114875,1
2605,0.291401,50.7891,-2.81166052818298,-1.95673418045044,1,0.0264540240168571,0.033598680049181,0.00524138053879142,1,16.254744052578,1
2623,8.20807,50.1225,-3.60364174842834,-1.38871228694916,1,0.0182682070881128,0.0176074374467134,0.00252499571070075,1,13.23706377858,1
2632,8.2914,49.6225,-3.05195164680481,-0.437823683023453,1,0.0179505720734596,0.0162802264094353,0.00376050919294357,1,15.2920485050449,1
2644,8.87473,49.3725,-3.83956551551819,-2.17288374900818,1,0.0207158420234919,0.0196458864957094,0.00219364510849118,1,12.7001758770712,1
2648,2.70807,49.2058,-3.06850028038025,-1.12468957901001,1,0.0205722488462925,0.017003558576107,0.00393749680370092,1,15.1994816254744,1
2657,2.12473,48.8725,-2.89151334762573,-1.09448885917664,1,0.0218640733510256,0.0229340884834528,0.00456550437957048,1,15.9770434138665,1
2672,6.20807,48.7058,-3.25330352783203,-1.35298216342926,1,0.0211067050695419,0.0277322102338076,0.00342485238797963,1,14.4774599648246,1
2676,7.37473,47.7891,-3.04329228401184,-0.654667973518372,1,0.0194142181426287,0.0143172005191445,0.0038620731793344,1,15.3290752568731,1
2677,13.3747,46.0391,-3.09529256820679,-2.973228931427,1,0.0381089374423027,0.0394613854587078,0.00448395125567913,1,15.1439414977321,1
2678,9.20807,45.4558,-2.94332885742188,-1.17740738391876,1,0.0248669497668743,0.0287349820137024,0.00440049264580011,1,15.7733962788114,1
2680,-1.12527,44.7891,-2.13866949081421,-1.57409465312958,1,0.0328851044178009,0.0350233726203442,0.00877182930707932,1,20.5128205128205,1
2681,11.4581,44.5391,-2.87950086593628,-0.192315846681595,1,0.0192012339830399,0.0204334706068039,0.00426593655720353,1,16.0510969175229,1
2683,8.87473,44.4558,-1.75691556930542,-1.95716309547424,1,0.0429465621709824,0.0319896638393402,0.0121155558153987,1,26.1223734147922,1
2685,26.1247,44.3725,-3.12282729148865,0.644000172615051,1,0.0143998814746737,0.00772591913118958,0.00320203346200287,1,15.0884013699898,1
2686,10.2081,43.9558,-1.81411051750183,-1.02983343601227,1,0.0331916660070419,0.0473005808889866,0.010845965705812,1,24.956030732204,1
2687,4.45807,43.7058,-1.4442423582077,-0.183765813708305,1,0.0308872014284134,0.0225607827305794,0.0135020148009062,1,29.6584282143849,1
2688,-5.87527,43.6225,-1.8448520898819,-2.1463668346405,1,0.0405804067850113,0.0363669022917747,0.0114834308624268,1,24.5302230861798,1
2689,1.45807,43.6225,-2.1054801940918,-0.763806164264679,1,0.0278328210115433,0.0403916053473949,0.0084613673388958,1,20.7349810237897,1
2691,6.95807,43.6225,-1.55943691730499,-0.739975929260254,1,0.032460018992424,0.0432618893682957,0.0128955226391554,1,28.4550587799685,1
2693,-7.04193,43.5391,-1.3799968957901,-2.02228474617004,1,0.047017078846693,0.0304986424744129,0.0161123741418123,1,30.3619364991206,1
2697,5.45807,43.5391,-1.58095860481262,0.160994872450829,1,0.0264001693576574,0.0211864653974771,0.011855723336339,1,28.3254651485698,1
2699,-4.62527,43.3725,-2.1856210231781,-1.74361777305603,1,0.0330570824444294,0.0350233726203442,0.00856135413050652,1,19.9759326113117,1
2701,-1.7086,43.3725,-1.9907933473587,-2.98756885528564,1,0.05075778439641,0.0326434075832367,0.0108875669538975,1,19.7167453485143,1
2704,-8.37527,43.2891,-1.38243341445923,-2.20555019378662,1,0.0485882721841335,0.0343890003859997,0.0162784922868013,1,30.3249097472924,1
2708,10.5414,42.9558,-1.27373015880585,-0.0677506774663925,1,0.0305764805525541,0.0232445690780878,0.0152091849595308,1,31.3616587984819,1
2709,-1.62527,42.7891,-2.25719404220581,-0.822614967823029,1,0.0262686107307673,0.0374826788902283,0.00753069994971156,1,19.1428306951773,1
2710,-8.9586,42.6225,-1.47902631759644,-2.91367030143738,1,0.0556864365935326,0.0358406789600849,0.0158777106553316,1,20.3091733777654,1
2711,-6.79193,42.5391,-1.8164963722229,-1.08038854598999,1,0.0330559946596622,0.0400064401328564,0.0108667993918061,1,24.9004906044617,1
2712,-2.4586,42.5391,-2.05303049087524,0.0415685027837753,1,0.0225513931363821,0.0161778274923563,0.00827283691614866,1,21.4384893085254,1
2716,-7.87527,42.3725,-1.32295572757721,-2.30588841438293,1,0.0551361702382565,0.0367821417748928,0.0171088520437479,1,29.1955938165324,1
2718,2.95807,42.2891,-1.43301057815552,-0.0196074657142162,1,0.0291973184794188,0.0263263955712318,0.0134510984644294,1,29.7880218457836,1
2720,12.2914,42.2891,-1.78822433948517,1.10773372650146,1,0.0183828622102737,0.0104099018499255,0.00935270730406046,1,25.5854855132833,1
2721,-8.7086,42.2058,-1.32416498661041,-3.35704517364502,1,0.0675985589623451,0.0345628075301647,0.0182476416230202,1,15.3290752568731,1
2724,1.5414,41.9558,-2.64075899124146,-0.470008701086044,1,0.0215303879231215,0.028648417443037,0.0053441752679646,1,16.9952790891419,1
2731,12.5414,41.8725,-1.23649942874908,0.0364272966980934,1,0.0313506796956062,0.0232445690780878,0.0155166480690241,1,31.565305933537,1
2732,-0.875266,41.7058,-1.79441869258881,0.881563186645508,1,0.0210180412977934,0.0147237768396735,0.00948266498744488,1,25.4744052577988,1
2733,2.70807,41.7058,-1.54851543903351,-0.564749181270599,1,0.0325106382369995,0.0394407287240028,0.0128362569957972,1,28.6216791631954,1
2736,-4.7086,41.6225,-2.11430096626282,0.883573830127716,1,0.0176786035299301,0.00904213637113571,0.00734178302809596,1,20.6609275201333,1
2739,-5.7086,41.5391,-1.92037963867188,0.320425868034363,1,0.0219017751514912,0.0159053839743137,0.00898694433271885,1,23.5860409145608,1
2740,2.12473,41.5391,-1.72455310821533,-0.367987245321274,1,0.0299798455089331,0.0326277241110802,0.0110559929162264,1,26.5111543089882,1
2753,1.37473,41.2058,-1.35540354251862,-0.043837882578373,1,0.0300142951309681,0.0232445690780878,0.0142849739640951,1,30.5840970100898,1
2756,14.3747,41.0391,-1.29061210155487,-0.567816555500031,1,0.0358288884162903,0.03143060952425,0.0155721316114068,1,31.195038415255,1
2757,-5.7086,40.9558,-2.01769471168518,0.558917999267578,1,0.0198764652013779,0.0129209561273456,0.00815581623464823,1,21.9568638341202,1
2759,0.708067,40.8725,-1.04264330863953,0.169170022010803,1,0.0323716588318348,0.0380484350025654,0.017723074182868,1,33.4721836526891,1
