"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","fne_pred_inv","inv_range","mess","analog"
4503,21.7083333333333,66.5416666666667,-6.20606184005737,-1.36390924453735,0,0.000265859649516642,0.00152981176506728,7.17408530720659e-15,0,-45.0957914440489,0
4504,0.625,44.2916666666667,-3.29479765892029,0.726710379123688,0,0.00179400807246566,0.00849707890301943,1.31341735709611e-07,0,-6.54461499439086,0
4505,23.875,48.4583333333333,-6.01706647872925,1.88499104976654,0,0.00097760115750134,0.0249743107706308,3.05763487445931e-12,0,-42.5931008363276,0
4506,6.79166666666666,45.375,-7.31190633773804,2.58084678649902,0,0.000760780007112771,0.0348020866513252,6.80986198692019e-15,0,-59.7394663919267,0
4507,28.625,62.7916666666667,-5.68652057647705,-1.5293675661087,0,0.000305149966152385,0.00119392271153629,9.01333315709435e-14,0,-38.2159874554805,0
4508,-8.625,52.5416666666667,-3.83393502235413,2.15030336380005,0,0.00255253352224827,0.0342091098427773,9.05197836686966e-08,0,-13.6839119922413,0
4509,14.0416666666667,48.2083333333333,-4.36539125442505,0.359013706445694,0,0.00104352401103824,0.00821678154170513,9.95518556479169e-10,0,-20.7214948782555,0
4510,0.791666666666657,42.4583333333333,-4.44263696670532,0.953770637512207,0,0.00124795420560986,0.00877079647034407,1.59236490659964e-09,0,-21.7443883358094,0
4511,21.2916666666667,50.625,-4.08775615692139,-1.07073771953583,0,0.000684055325109512,0.00274474779143929,4.27053670204458e-10,0,-17.0450303025463,0
4512,9.875,47.125,-4.97686433792114,2.01678323745728,0,0.00154113164171576,0.0279229525476694,5.79252090737725e-10,0,-28.818666852139,0
4513,-1.625,52.2916666666667,-4.03242063522339,0.23946912586689,0,0.00114841107279062,0.00847359467297792,3.56390716937938e-09,0,-16.312273215527,0
4514,16.625,46.625,-3.59203314781189,-0.72922295331955,0,0.000935926043894142,0.00320454663597047,5.76238035066012e-09,0,-10.4806294081995,0
4515,-1.29166666666669,38.2916666666667,-1.0876384973526,-2.26708626747131,0,0.00137800152879208,3.74928094970528e-05,4.24282688982203e-06,1,0.294435175188929,1
4516,27.875,55.7083333333333,-4.92569255828857,-1.1921581029892,0,0.000469173101009801,0.00204980932176113,7.39179811110047e-12,0,-28.1410463467105,0
4517,-3.625,53.125,-4.72893142700195,2.95616793632507,0,0.00242003914900124,0.034938856959343,5.53670620462299e-09,0,-25.5355208365858,0
4518,27.4583333333333,44.125,-3.39164996147156,-1.96939408779144,0,0.00063170853536576,0.000806258001830429,2.09030370790231e-09,0,-7.82714037611398,0
4519,26.2916666666667,38.2916666666667,-0.868877112865448,-1.07075953483582,0,0.00237542204558849,0.000177993904799223,3.63488179573324e-05,0,0.372951221905977,1
4520,-1.29166666666669,48.375,-3.31721711158752,0.571824252605438,0,0.00170257722493261,0.00798534322530031,9.91194468724643e-08,0,-6.84149505126759,0
4521,21.0416666666667,56.125,-4.70770835876465,-0.327854692935944,0,0.000708898529410362,0.00474749272689223,7.86766971017094e-11,0,-25.2544833911625,0
4522,7.20833333333331,52.625,-3.89990091323853,0.242779433727264,0,0.00120884878560901,0.00847359467297792,6.25097484885373e-09,0,-14.5574372173379,0
4523,26.7083333333333,55.7916666666667,-4.91056776046753,-1.12594711780548,0,0.00048383031389676,0.00274474779143929,8.83421374248128e-12,0,-27.9407626509393,0
4524,1.04166666666666,48.5416666666667,-4.08387279510498,0.229330375790596,0,0.00111580663360655,0.00847359467297792,2.82349499336476e-09,0,-16.9936065370315,0
4525,22.2916666666667,60.5416666666667,-4.85753202438354,-0.976735770702362,0,0.000519439054187387,0.00274474779143929,1.44190657677679e-11,0,-27.2384594957812,0
4526,15.9583333333333,61.875,-5.03167343139648,-1.60956144332886,0,0.000385771301807836,0.00119392271153629,2.24162507132808e-12,0,-29.5444529375462,0
4527,-1.95833333333334,54.9583333333333,-4.14553928375244,0.663781404495239,0,0.00129185733385384,0.00849707890301943,3.91283139222764e-09,0,-17.8101987584734,0
4528,-3.375,42.7083333333333,-3.06917071342468,-0.245240569114685,0,0.00136833474971354,0.00698829488828778,8.7722732189377e-08,0,-3.55684622920745,0
4529,-7.04166666666669,37.5416666666667,-0.481968760490417,-1.53388261795044,0,0.00231322483159602,7.9680590715725e-05,5.60072876396589e-05,1,0.90293453724605,1
4530,15.875,51.375,-3.94528126716614,-1.03904366493225,0,0.000732875952962786,0.00306259584613144,8.31976820769853e-10,0,-15.1583672335647,0
4531,8.625,54.9583333333333,-4.34238433837891,0.473163962364197,0,0.00111030496191233,0.00821678154170513,1.28958843603755e-09,0,-20.4168355876957,0
4532,8.625,39.7083333333333,-0.847242891788483,-1.20806014537811,0,0.00227226340211928,0.000144916499266401,3.25480614264961e-05,0,0.392580233585239,1
4533,-2.95833333333334,52.2916666666667,-4.12043619155884,1.42443215847015,0,0.00172229169402272,0.0214366000145674,1.16878196010362e-08,0,-17.4777817477267,0
4534,31.7916666666667,64.625,-6.1182746887207,-2.02108454704285,0,0.000215205829590559,0.000857444829307497,3.6979463714532e-15,0,-43.9333074678022,0
4535,23.375,66.375,-6.18097829818726,-1.88612365722656,0,0.000219752633711323,0.000806258001830429,3.31393974965072e-15,0,-44.7636333201375,0
4536,16.2083333333333,52.875,-3.87080645561218,-1.05841612815857,0,0.000747471058275551,0.00274474779143929,1.11260367585686e-09,0,-14.1721662491695,0
4537,-3.79166666666669,54.7916666666667,-4.24064302444458,1.72041130065918,0,0.00184842757880688,0.0249743107706308,1.02135633284206e-08,0,-19.0695695542262,0
4538,1.125,52.875,-4.06480169296265,0.496078968048096,0,0.00125193991698325,0.00798534322530031,4.40280167879337e-09,0,-16.7410655864225,0
4539,16.875,51.5416666666667,-3.6560525894165,-1.11616146564484,0,0.000798257999122143,0.00274474779143929,2.52608911566199e-09,0,-11.3283796074082,0
4540,8.79166666666666,53.5416666666667,-4.03906631469727,0.128326788544655,0,0.00109799369238317,0.00802751909941435,2.97346769428941e-09,0,-16.4002757965656,0
4541,19.875,65.125,-5.7496452331543,-1.46645271778107,0,0.000306757137877867,0.00119392271153629,7.17592489336144e-14,0,-39.0518888462428,0
4542,19.125,43.2916666666667,-6.10986566543579,1.34370088577271,0,0.000765305943787098,0.0207387190312147,8.77283651539579e-13,0,-43.8219545570886,0
