"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","inv_range","mess","analog"
60,12.4581,44.9558,-1.13853406906128,-0.575428783893585,1,0.00205044099129736,0.000556254526600242,1,33.2360949047063,1
61,10.3747,43.8725,-0.1648810505867,-0.58837503194809,1,0.00307404575869441,0.0014778848271817,1,33.0999611046285,1
65,-2.9586,43.2891,0.625681161880493,-1.57657861709595,1,0.00302134151570499,0.00737926550209522,1,25.5931544146247,1
66,3.12473,42.2891,-0.329530477523804,0.227812394499779,1,0.00433898065239191,0.00031602630042471,1,48.9692726565539,1
68,2.70807,41.7891,-0.192220345139503,-0.162970915436745,1,0.0038786658551544,0.000615068944171071,1,43.5822637106184,1
72,0.624734,41.5391,-1.21553373336792,1.04835069179535,1,0.00415215082466602,0.000300341809634119,1,39.8872034227927,1
75,2.20807,41.4558,-0.226585820317268,-0.0259727388620377,1,0.00403361860662699,0.000683939026203007,1,49.416569428238,1
80,-3.79193,41.2058,-1.48982286453247,0.159150511026382,1,0.00237349350936711,0.000136178598040715,1,38.1174640217814,1
82,-3.54193,40.4558,-1.09420931339264,1.13279223442078,1,0.00460134213790298,0.00032320263562724,1,40.6456631660832,1
91,-6.62527,40.1225,-0.272659331560135,0.502765297889709,1,0.00494704162701964,0.000364014529623091,1,49.7860754570206,1
106,-5.79193,39.9558,-0.620103001594543,1.02398288249969,1,0.00549708679318428,0.000431959371780977,1,45.4297938545313,1
108,-4.87527,39.9558,-0.879853188991547,1.09647738933563,1,0.00507436832413077,0.000320420833304524,1,42.6293271100739,1
110,-3.79193,39.9558,-0.947579562664032,1.22983860969543,1,0.00524447113275528,0.000320045277476311,1,41.9097627382341,1
113,-7.12527,39.8725,-0.192775040864944,0.7843376994133,1,0.00585911981761456,0.00043418284622021,1,51.2640995721509,1
123,3.12473,39.7891,0.137226551771164,0.47071772813797,1,0.00596599746495485,0.000840079330373555,1,57.6818358615325,1
124,-0.291933,39.7058,-0.100454315543175,0.748183727264404,1,0.00619973614811897,0.000905525346752256,1,52.8199144301828,1
128,-6.37527,39.4558,-0.547220528125763,1.0864554643631,1,0.00579768139868975,0.000431959371780977,1,46.2271489692727,1
129,-8.54193,39.3725,0.214754775166512,0.385794878005981,1,0.00585517892614007,0.000840079330373555,1,59.6654998055231,1
132,-5.7086,39.3725,-0.730207026004791,0.860749065876007,1,0.00467345817014575,0.000215756837860681,1,44.3796188253598,1
138,-7.04193,39.1225,-0.360722661018372,1.1102888584137,1,0.00641055917367339,0.000575122248847038,1,48.5803189420459,1
146,-5.12527,39.1225,-0.767147600650787,1.07030522823334,1,0.00514822127297521,0.000326847366522998,1,43.8350836250486,1
154,-8.9586,38.9558,0.313343375921249,0.234607055783272,1,0.00570380594581366,0.00168770947493613,1,62.7187864644107,1
161,-6.4586,38.9558,-0.414419889450073,1.44665598869324,1,0.00727094197645783,0.00102575053460896,1,48.0746791131855,1
196,-7.4586,38.6225,-0.252316921949387,0.938314974308014,1,0.00607515359297395,0.000905525346752256,1,50.0583430571762,1
198,-8.7086,38.4558,0.240278363227844,0.387817323207855,1,0.00589171564206481,0.000840079330373555,1,60.3461688059121,1
