"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","inv_range","mess","analog"
2863,-2.54193,57.6225,0.474629282951355,-2.81138896942139,1,0.00820097792893648,0.0477727614343166,1,-21.4369160081735,0
2865,-4.87527,57.2891,4.97453451156616,-7.17112731933594,1,0.0225848145782948,0.00420476589351892,1,-81.2273859475524,0
2867,-3.79193,57.2891,1.0116069316864,-3.84756350517273,1,0.0104544144123793,0.0442436672747135,1,-35.6472555880716,0
2868,-3.9586,54.9558,2.10726809501648,-4.21516513824463,1,0.0113776409998536,0.0410195663571358,1,-40.6886302366862,0
2869,-2.7086,54.1225,2.72240805625916,-4.51547718048096,1,0.0121962716802955,0.0264997016638517,1,-44.807179721225,0
2870,-2.12527,53.0391,0.898415565490723,-3.22418475151062,1,0.00903132651001215,0.0496390610933304,1,-27.0980937714198,0
2871,0.708067,52.6225,0.623821437358856,-2.11826014518738,1,0.00696422113105655,0.0486846119165421,1,-11.9311854337015,0
2873,-2.37527,52.4558,1.22656834125519,-3.29794549942017,1,0.00918498821556568,0.0473506152629852,1,-28.1096658949346,0
2874,-0.458599,52.4558,0.307866036891937,-2.18580150604248,1,0.00707934191450477,0.0446209535002708,1,-12.8574634306255,0
2875,1.62473,52.4558,0.307440727949142,-1.98263597488403,1,0.00674826465547085,0.0446209535002708,1,-10.0712038873928,0
2884,0.791401,52.1225,0.327993631362915,-1.696044921875,1,0.00630728481337428,0.0446209535002708,1,-6.14082725362823,0
2887,-3.29193,51.9558,2.31210613250732,-3.93523168563843,1,0.0106508592143655,0.0397766120731831,1,-36.849557489716,0
2888,-0.625266,51.9558,0.539541125297546,-2.29507756233215,1,0.00726138008758426,0.0486846119165421,1,-14.3561007877985,0
2890,-2.4586,51.6225,1.31555831432343,-2.66057085990906,1,0.00790490861982107,0.0479917973279953,1,-19.368561231037,0
2892,-1.87527,51.2058,1.07199943065643,-2.39518976211548,1,0.00742884539067745,0.0442436672747135,1,-15.7290628766421,0
2893,-3.2086,51.0391,2.01929807662964,-3.27205801010132,1,0.00911835767328739,0.0332670770585537,1,-27.7546388204417,0
2894,0.458067,51.0391,1.39439058303833,-2.50376129150391,1,0.00761740701273084,0.0479917973279953,1,-17.2180381873505,0
2895,1.95807,50.9558,0.704728245735168,-1.84851396083832,1,0.00653418432921171,0.0485142767429352,1,-8.23182326282705,0
2900,2.7914,50.7891,0.660103142261505,-1.95602750778198,1,0.0067024240270257,0.0486846119165421,1,-9.70628915519806,0
2904,3.45807,50.3725,0.628511965274811,-1.95428228378296,1,0.00670001655817032,0.0486846119165421,1,-9.68235474568174,0
2905,1.5414,50.2891,0.974089860916138,-2.14980268478394,1,0.00701226713135839,0.0496390610933304,1,-12.3637671884293,0
2907,2.20807,50.1225,0.602996110916138,-2.4139518737793,1,0.00746667990460992,0.0486846119165421,1,-15.9863708578554,0
2910,4.0414,50.1225,0.633166134357452,-2.78842377662659,1,0.00815453007817268,0.0486846119165421,1,-21.1219659907082,0
2917,2.95807,49.9558,0.379942238330841,-1.97800958156586,1,0.0067401397973299,0.0477727614343166,1,-10.007756448942,0
