"X","lon","lat","PC1","PC2","presence","glm_pred_inv","bart_pred_inv","inv_range","mess","analog"
1046,22.7083333333333,56.875,-2.19084572792053,-0.999294757843018,0,0.000574603909626603,0.000570711679756641,0,36.1880103565027,1
1047,-7.29166666666669,54.375,-0.644984364509583,-4.29850769042969,0,0.00124248745851219,0.000974868598859757,0,3.50527783310098,1
1048,14.7083333333333,60.2083333333333,-2.54358077049255,-0.896899402141571,0,0.000501066795550287,0.000517061504069716,0,35.9689304919339,1
1049,10.875,57.2083333333333,-1.6944682598114,-1.4477037191391,0,0.000688550237100571,0.000612906122114509,0,26.3692491535551,1
1050,3.04166666666666,45.375,-1.66320431232452,-2.3540186882019,0,0.000760226103011519,0.00170553103089333,0,9.20135431189006,1
1051,0.875,44.7083333333333,-0.35310086607933,-2.12121748924255,0,0.00127340597100556,0.00085750559810549,0,11.3523202549293,1
1052,-8.70833333333334,54.2916666666667,-0.417187541723251,-3.80680680274963,0,0.00126517913304269,0.00086291617481038,0,4.00318661621191,1
1053,21.7083333333333,53.9583333333333,-2.15485787391663,-0.293763339519501,0,0.000568904215469956,0.000524272734764963,0,39.753037243577,1
1054,20.2083333333333,47.2916666666667,-1.48342764377594,0.534347653388977,0,0.000715804751962423,0.000502220005728304,0,43.6566421031667,1
1055,2.29166666666666,46.2916666666667,-0.85994017124176,-1.39259469509125,0,0.000971284054685384,0.000611487193964422,1,27.6239792869946,1
1056,15.7083333333333,49.9583333333333,-1.48331367969513,0.0364240482449532,0,0.000692032685037702,0.00070356868673116,0,43.6566421031667,1
1057,20.4583333333333,47.2916666666667,-1.49864363670349,0.46018522977829,0,0.000715083559043705,0.000502220005728304,0,43.576976697869,1
1058,-1.375,48.7916666666667,-0.521455109119415,-2.21907949447632,0,0.00112743931822479,0.000695291615556926,0,10.4760007966541,1
1059,0.458333333333314,45.7916666666667,-0.511260509490967,-1.78684628009796,0,0.00115121121052653,0.000827983836643398,0,17.3670583549094,1
1060,1.875,41.625,-0.353221386671066,-0.587174952030182,0,0.00113199348561466,0.000680254597682506,1,47.4606652061342,1
1061,22.5416666666667,58.875,-2.39647030830383,-1.41563773155212,0,0.000539091532118618,0.00044173575588502,0,27.1260705038837,1
1062,19.7916666666667,52.9583333333333,-1.86887204647064,-0.264242708683014,0,0.000622171617578715,0.000489350408315659,0,41.4658434574786,1
1063,8.625,62.4583333333333,-3.13890838623047,-3.23127341270447,0,0.000434044835856184,0.000754641776438802,0,5.31766580362478,1
1064,18.0416666666667,47.2083333333333,-1.56557834148407,-0.505961656570435,0,0.000724785903003067,0.000720235577318817,0,43.1786496713802,1
1065,4.95833333333331,51.125,-1.24334597587585,-2.09285521507263,0,0.000885364424902946,0.00050621764967218,1,11.7307309300936,1
1066,8.04166666666666,60.2083333333333,-3.51232838630676,-2.57533121109009,0,0.000370771420421079,0.000583701941650361,0,7.90679147580163,1
1067,15.9583333333333,44.875,-1.3797550201416,-3.05423712730408,0,0.0009868178749457,0.00172994716558605,0,5.97490539733121,1
1068,17.9583333333333,42.9583333333333,-0.197082489728928,-1.64122915267944,0,0.0013488819822669,0.00104194809682667,0,21.0117506472814,1
1069,23.2083333333333,45.125,-1.36540615558624,-0.234649062156677,0,0.000796708569396287,0.000788777135312557,0,44.3337980481976,1
1070,6.125,49.7083333333333,-1.71400809288025,-2.44069290161133,0,0.000764122989494354,0.00170553103089333,0,8.68352917745469,1
1071,11.625,60.125,-2.61567497253418,-1.27297675609589,0,0.000502135022543371,0.000366121763363481,0,29.9541923919538,1
1072,-0.708333333333343,51.9583333333333,-1.16987764835358,-1.91705763339996,0,0.000863025488797575,0.00050621764967218,0,14.6982672774348,1
1073,30.2083333333333,63.0416666666667,-3.37005829811096,-0.496600657701492,0,0.000373768853023648,0.000430185522418469,0,25.3734315873332,1
1074,23.7916666666667,58.625,-2.40858364105225,-0.720498502254486,0,0.000529383309185505,0.000459313538158312,0,37.4626568412667,1
1075,25.625,45.7083333333333,-1.88199591636658,0.475891709327698,0,0.000595010118559003,0.000613514566794038,0,41.3861780521808,1
1076,31.2083333333333,61.9583333333333,-3.26024413108826,-0.599351942539215,0,0.000390184257412329,0.000395243667298928,0,27.1061541525593,1
1077,27.625,64.7083333333333,-3.46561431884766,-0.463116884231567,0,0.000354079093085602,0.000430185522418469,0,23.7203744274049,1
1078,26.9583333333333,60.5416666666667,-2.81284689903259,-0.85146164894104,0,0.00046614752500318,0.000434184155892581,0,33.1806413065126,1
1079,19.7083333333333,52.875,-1.85807490348816,-0.221495926380157,0,0.000623282685410231,0.000489350408315659,0,41.5255925114519,1
1080,5.79166666666666,46.625,-1.49909508228302,-3.67274141311646,0,0.000960817676968873,0.000883203814737499,0,4.16251742680741,1
1081,0.708333333333314,48.7083333333333,-1.00629067420959,-2.09189438819885,0,0.000955755531322211,0.000599286518990993,0,11.750647281418,1
