"","lon","lat","PC1","PC2"
"1627",4.87473,52.3725,-1.50778555870056,-1.3922883272171
"1629",5.95807,52.2058,-1.7965681552887,-1.66607558727264
"1630",4.45807,51.9558,-1.4705103635788,-1.45355498790741
"1631",-0.291933,51.7058,-1.75705289840698,-0.832449615001678
"1641",4.7914,51.2058,-1.75010800361633,-1.25754034519196
"1642",4.0414,50.9558,-1.69088208675385,-1.24902975559235
"1657",13.3747,46.2891,-1.0085586309433,-4.61879348754883
"1658",8.70807,45.7891,-1.03971469402313,-1.47100567817688
"1659",11.2914,45.7891,-1.96462845802307,0.00605351664125919
"1660",10.6247,45.3725,-1.41915023326874,-0.0807989090681076
"1661",7.45807,44.6225,-1.45303738117218,-0.303901076316833
"1662",8.95807,44.6225,-0.3043512403965,-1.77654242515564
"1694",9.45807,44.2891,0.149324968457222,-1.55640482902527
"1696",10.7081,43.7891,-0.0659963861107826,0.0825449973344803
"1698",11.1247,43.4558,-0.255121171474457,0.27595591545105
"1699",-8.9586,43.2058,0.432411968708038,-1.35267317295074
"1700",-1.62527,43.1225,-0.22674734890461,-2.1894474029541
"1701",5.87473,43.1225,-0.0232896152883768,0.832915425300598
"1703",-8.79193,42.5391,1.02309060096741,-2.19702982902527
"1704",-2.4586,42.5391,-0.950435817241669,0.792412579059601
"1705",3.12473,42.3725,-0.370808750391006,0.801900625228882
"1712",0.958067,42.2058,-1.29553937911987,0.169043451547623
"1713",2.20807,42.2058,-1.43292641639709,-0.670887231826782
"1717",-0.375266,42.1225,-0.96640807390213,1.19697320461273
"1721",11.7914,42.1225,-0.365529239177704,1.27953326702118
"1723",-1.62527,42.0391,-0.675273299217224,1.47888708114624
"1726",1.5414,41.9558,-1.17269325256348,0.151626482605934
"1730",2.7914,41.9558,-0.225789368152618,0.25228089094162
"1732",12.4581,41.9558,-0.272479087114334,1.26492941379547
"1733",-8.79193,41.8725,1.14838409423828,-2.20903015136719
"1743",-2.4586,41.7891,-1.51889836788177,1.20453405380249
"1744",0.541401,41.7891,-1.1303950548172,1.74672615528107
"1753",-4.7086,41.7058,-1.26565134525299,1.63675761222839
"1754",-1.04193,41.7058,-0.976074516773224,1.77560842037201
"1766",2.20807,41.7058,-0.718924939632416,-0.176383838057518
"1795",-6.2086,41.5391,-0.504070520401001,0.329182207584381
"1814",0.291401,41.3725,-0.485097765922546,2.07037472724915
"1815",1.62473,41.3725,-0.300900161266327,0.595236718654633
"1822",-0.791933,41.2891,-1.05060791969299,2.07035779953003
"1829",-8.7086,41.2058,0.961353123188019,-1.00597763061523
"1831",0.958067,41.2058,-0.674738883972168,0.944995939731598
"1848",-5.7086,41.0391,-1.01786577701569,1.2280113697052
"1852",0.291401,40.8725,-0.882459580898285,1.24250364303589
"1853",-1.12527,40.7891,-1.70723056793213,1.62289154529572
"1854",-4.12527,40.7058,-1.72860264778137,0.455080419778824
"1857",-3.37527,40.7058,-1.15019857883453,2.05104923248291
"1880",-3.79193,40.2891,-0.828128457069397,2.02029824256897
"1888",-3.04193,40.1225,-0.771961688995361,2.33706259727478
"1889",-1.37527,40.1225,-1.68816685676575,1.56381142139435
"1891",-0.0419328,40.1225,-0.178504154086113,1.6481568813324
"1894",-4.7086,40.0391,-0.689839661121368,2.31839227676392
"1900",3.87473,40.0391,0.263096839189529,1.10038280487061
"1910",2.87473,39.8725,-0.225449025630951,0.612328290939331
"1922",-0.291933,39.7058,0.167952477931976,1.72053706645966
"1945",3.37473,39.6225,0.419989764690399,1.17271780967712
"1946",-1.29193,39.5391,-0.841988980770111,2.03481435775757
"1951",2.37473,39.5391,0.0932480022311211,1.7341445684433
"1962",-5.87527,39.4558,-0.230045661330223,2.00491905212402
"1972",-3.87527,39.3725,-0.988954365253448,2.01605820655823
"1973",-2.79193,39.3725,-0.647184789180756,2.54161071777344
"1987",-0.541933,39.2058,0.226757392287254,2.06461930274963
"1989",9.12473,39.2058,0.00538085866719484,2.08581233024597
"1993",-1.29193,39.0391,-1.17963898181915,1.92631030082703
"1995",1.37473,39.0391,0.131352171301842,1.7377724647522
"1998",-3.37527,38.9558,-0.60600870847702,2.67314863204956
"2003",-6.37527,38.8725,0.159982174634933,2.19110369682312
"2006",-9.12527,38.7891,0.728891789913177,0.971765220165253
"2010",-0.875266,38.7058,-0.734264254570007,2.36955595016479
"2014",-2.62527,38.2891,-1.25036382675171,2.07307720184326
"2015",-0.708599,38.2058,0.314359903335571,2.45489478111267
"2018",23.7914,38.1225,-0.311986148357391,1.55230617523193
"2019",-3.62527,38.0391,0.0721800997853279,2.8842978477478
"2026",-4.79193,37.8725,0.422679096460342,2.5362720489502
"2029",-0.875266,37.7058,0.404638081789017,2.90915703773499
"2030",-1.7086,37.6225,-0.225196957588196,2.9077136516571
"2035",-5.9586,37.5391,0.645661354064941,2.45020532608032
"2037",-4.37527,37.4558,-0.235706403851509,2.15487408638
"2041",-2.29193,37.3725,-0.491114884614944,2.71832394599915
"2042",-7.2086,37.2891,0.622544765472412,2.24381923675537
"2043",14.7081,37.2891,0.14731539785862,1.90541696548462
"2046",-3.62527,37.2058,-0.245537176728249,2.77048397064209
"2048",-6.37527,37.1225,0.661352396011353,2.25993132591248
"2051",-2.37527,36.8725,0.0228629466146231,2.85785913467407
"2053",-4.7086,36.7891,0.705346047878265,1.99655950069427
"2056",-4.04193,36.7891,0.450494855642319,2.2874014377594
"2061",-6.29193,36.6225,0.663728296756744,1.91580438613892
"2068",-5.2086,36.4558,0.596244215965271,1.27211427688599
"2073",-5.62527,36.0391,1.16388785839081,0.868112742900848
