"sp"	"x"	"y"
"poicep"	11.95795	11.708717
"poicep"	8.54125	7.958717
"poicep"	34.53594	31.599337
"poicep"	-3.734709	5.195475
"poicep"	23.739462	37.975447
"poicep"	11.12455	13.042117
"poicep"	8.62455	6.542117
"poicep"	3.79125	7.792117
"poicep"	10.29125	8.125417
"poicep"	9.624583	12.792083
"poicep"	-6.181859	10.431016
"poicep"	7.54125	7.708717
"poicep"	13.138548	11.856298
"poicep"	-15.981801	18.103315
"poicep"	-14.64072	11.959838
"poicep"	3.656945	6.465061
"poicep"	-12.71734	13.07194
"poicep"	4.79125	11.458717
"poicep"	8.70795	12.292117
"poicep"	-2.5667	7.437577
"poicep"	12.20795	10.542117
"poicep"	35.5229	32.8424
"poicep"	34.9356	29.558977
"poicep"	8.973352	11.129737
"poicep"	9.62455	10.375417
"poicep"	-15.602312	11.832659
"poicep"	-10.328582	10.52127
"poicep"	-3.067755	12.326122
"poicep"	5.20795	12.958717
"poicep"	5.04125	7.708717
"poicep"	48.122173	29.165966
"poicep"	-10.941318	7.672409
"poicep"	4.37455	10.542117
"poicep"	3.95795	9.542117
"poicep"	6.54125	7.042117
"poicep"	10.62455	10.708717
"poicep"	7.12455	9.958717
"poicep"	-8.875156	10.773047
"poicep"	6.54125	8.458717
"poicep"	5.70795	9.375417
"poicep"	8.29125	4.875417
"poicep"	11.12455	6.625417
"poicep"	11.12455	8.792117
"poicep"	2.43012	48.6269
"poicep"	-16.779497	12.478425
"poicep"	12.04125	8.125417
"poicep"	0.986449	6.028317
"poicep"	2.193	41.383
"poicep"	-15.596759	27.738931
"poicep"	6.87455	4.792117
"poicep"	2.063402	6.351661
"poicep"	3.95795	11.958717
"poicep"	12.54125	9.375417
"poicep"	10.62455	11.625417
"poicep"	5.37455	10.708717
"poicep"	50.202976	26.23408
"poicep"	-8.364093	12.380948
"poicep"	-13.076	11.829
"poicep"	6.37455	13.125417
"poicep"	27.957917	-32.957917
"poicep"	8.62455	9.958717
"poicep"	-4.299114	36.713207
"poicep"	11.62455	9.708717
"poicep"	9.87455	9.042117
"poicep"	-1.349444	6.161667
"poicep"	-1.311104	37.562767
"poicep"	-1.419156	7.321022
"poicep"	10.04125	7.125417
"poicep"	0.481828	7.037916
"poicep"	-16.240463	16.399363
"poicep"	8.04125	9.125417
"poicep"	-9.208385	38.697744
"poicep"	-13.287997	15.757717
"poicep"	36.044769	-4.077973
"poicep"	-2.6406	5.2038
"poicep"	7.736726	13.6957
"poicep"	-1.758183	4.882464
"poicep"	-1.7606	9.6467
"poicep"	2.068208	13.522717
"poicep"	-0.80375	10.14433
"poicep"	-13.491451	28.992814
"poicep"	-13.198	8.361
"poicep"	-2.944961	6.514267
"poicep"	0.584335	8.691675
"poicep"	27.957917	-26.124583
"poicep"	1.266457	7.55307
"poicep"	-15.350421	14.080249
"poicep"	13.715057	8.048351
"poicep"	4.8	52.35
"poicep"	6.573225	53.222202
"poicep"	-11.38365	12.524279
"poicep"	10.9892	45.4708
"poicep"	-15.833445	13.25231
"poicep"	-4.598661	9.733283
"poicep"	-16.386628	11.28936
"poicep"	16.1574	9.2959
"poicep"	-0.912119	12.338462
"poicep"	4.55143	51.11613
"poicep"	2.66	7.6
"poicep"	1.166667	11.166667
"poicep"	4.627578	43.676707
"poicep"	-17.526625	14.74091
"poicep"	-4.743347	13.4995
"poicep"	-2.591973	51.438748
"poicep"	-10.593352	6.210784
"poicep"	-6.069276	40.037598
"poicep"	-7.247542	39.401405
"poicep"	0.443796	12.048505
"poicep"	-9.396744	14.992546
"poicep"	-8.161468	14.320276
"poicep"	2.715573	9.87066
"poicep"	2.441553	8.503045
"poicep"	0.444593	10.289113
"poicep"	-16.780001	28.059999
"poicep"	-13.506587	9.789898
"poicep"	-11.892142	11.584658
"poicep"	-5.674993	11.314133
"poicep"	-4.669478	12.060866
"poicep"	-14.559	10.735
"poicep"	2.108957	10.83075
"poicep"	-0.35	39.4
"poicep"	-3.614159	14.354454
"poicep"	-5.994424	37.424465
"poicep"	-1.495879	8.762378
"poicep"	2.264793	11.840681
"poicep"	-0.526872	38.242336
"poicep"	1.284655	9.517042
"poicep"	-0.394349	14.637238
"poicep"	-5.700717	12.959208
"poicep"	5.216146	6.26508
"poicep"	-14.187298	13.311119
"poicep"	13.598568	10.483086
"poicep"	14.537959	8.791301
"poicep"	-76.7495	18.022945
"poicep"	13.666112	9.057922
"poicep"	13.117039	6.754006
"poicep"	-11.567922	13.634427
"poicep"	-1.19816	11.465218
"poicep"	-3.504639	9.004452
"poicep"	-7.617442	11.817077
"poicep"	-4.898014	6.001947
"poicep"	-5.25	8.6333
"poicep"	3.5167	12.9333
"poicep"	1.4167	12.6167
"poicep"	-4.0833	11.1667
"poicep"	-2.0667	12.1333
"poicep"	14.216309	6.413566
"poicep"	-5.983483	14.234358
"poicep"	-12.433771	14.907889
"poicep"	7.168751	5.702992
"poicep"	6.016667	12.1
"poicep"	-2.909779	10.657314
"poicep"	-0.625458	8.209497
"poicep"	-15.06015	15.85671
"poicep"	-6.52	9.5
"poicep"	7.583333	11.166667
"poicep"	5.56252	50.07868
"poicep"	-7.4288	13.2307
"poicep"	-81.360283	27.208534
"poicep"	-5.57994	7.67272
"poicep"	-16.44595	15.371577
"poicep"	-82.420206	28.037819
"poicep"	-159.537	22.0627
"poicep"	-97.94111	29.88306
"poicep"	15	12
"poicep"	-12.0333	10.6
"poicep"	-0.8417	5.3417
"poicep"	-14.33638	14.506261
"poicep"	1.61079	47.61502
"poicep"	4.88906	45.77101
"poicep"	-61.53977	16.19759
