"speciesID","N","mu1","mu2","sigma11","sigma12","sigma22","def.pos"
"acrcri","7","-2.23100076913834","1.88431598544121","7.87121670994658","6.4262463970153","6.69509289940849","0"
"acrtri","43","5.97616194533843","-2.33682081270144","8.08268371421304","1.62755763938593","3.5224478924038","1"
"agafis","32","3.11593195922759","5.24953478092531","34.6405372806141","12.1428146104058","7.20219707218466","1"
"agaper","19","-7.29284984187076","4.25927595402065","5.97890616082067","3.87282279319416","3.19715035593329","0"
"agaros","67","-7.99324959573664","-1.66691996632353","5.33132659281721","4.39094336916667","9.04781191852296","1"
"amaama","295","6.48652920477016","2.32958349792089","9.97733868563629","8.65113048966082","12.081750400309","1"
"araacu","10","1.0855052126757","0.0159699994988646","4.3911964887891","2.77533272768215","8.64963588057689","1"
"chrpic","19","4.02701731009885","1.34414050172571","22.8847478927492","5.72979584651876","4.25926113849752","1"
"estast","789","6.52693200233542","-0.0893026587056246","25.4488707867767","-5.97297815366162","4.88823157508875","1"
"estmel","200","0.933254060696061","-3.13021291727654","1.77951391539741","0.297265524532993","1.04850415634356","0"
"esttro","90","3.88748842733107","4.25206570804493","9.01985579416914","8.20241355013727","18.980673462955","1"
"eupafe","302","4.73195704908036","3.50109347913566","6.15829969306898","3.37119625942318","4.99556818356159","1"
"myimon","464","-1.28915030838438","-0.789093778839128","38.9461442009485","-0.345750056277004","2.49705007811118","1"
"nannen","40","-6.27380737026491","2.44134254758572","11.0134714565773","6.65845113767944","5.10189368340661","1"
"plomel","118","7.24494821973608","0.920242024469228","13.0430645689624","3.25182261682189","4.14125699861795","1"
"poicep","129","-0.526437258005588","-3.8719794729836","1.00424489500617","0.202500907934772","1.02425289083167","0"
"psieup","288","3.4536527740948","-2.17512260293265","10.8910192449776","10.8942546294439","17.4633390205075","1"
"psikra","835","26.4212771681408","-5.49218728761393","67.2897769512755","-11.8478995457209","6.26963277066924","1"
"syrrev","24","2.14142419424866","0.583405717928372","105.041151866182","-9.54705401084074","2.41221496401439","1"
"vidmac","890","2.02346933561481","5.55575204486106","8.43243134037251","-6.22843783403597","21.3398132363184","1"
