"sp"	"x"	"y"
"araacu"	-56.13158	-21.468794
"araacu"	-56.628292	-21.55972
"araacu"	-61.34155	-34.193573
"araacu"	-71.338844	4.576855
"araacu"	-82.48375	27.268278
"araacu"	-64.28089	-18.934484
"araacu"	-73.587585	2.969224
"araacu"	-63.11186	-21.460651
"araacu"	-67.85698	5.353034
"araacu"	-65.66287	-24.920427
"araacu"	-71.96115	3.90793
"araacu"	-71.69053	6.714733
"araacu"	-68.18453	6.161423
"araacu"	-64.96558	-32.58224
"araacu"	-64.31166	-29.57602
"araacu"	-40.189457	-14.375635
"araacu"	-62.790108	-25.42137
"araacu"	-60.626225	-31.269972
"araacu"	-58.938335	-16.763199
"araacu"	-50.036545	-9.979333
"araacu"	-62.747192	-21.90059
"araacu"	-56.61426	-20.084984
"araacu"	-58.229908	-9.84458
"araacu"	-66.231059	-28.85814
"araacu"	-59.28488	-27.86274
"araacu"	-56.260887	-16.903826
"araacu"	-60.855625	-25.570724
"araacu"	-46.717113	-10.773029
"araacu"	-58.1871	-28.810055
"araacu"	-59.274277	-27.231665
"araacu"	-63.583967	-35.024646
"araacu"	-58.913548	-29.021147
"araacu"	-47.652817	-9.977836
"araacu"	-65.29074	-31.37744
"araacu"	-66.923615	-28.666111
"araacu"	-46.372173	-20.308043
"araacu"	-61.99075	-16.16918
"araacu"	-58.496517	-24.698124
"araacu"	-64.947014	-36.20883
"araacu"	-46.06327	-13.291093
"araacu"	2.211035	41.419556
"araacu"	-66.70189	-30.103048
"araacu"	-59.010857	-25.731033
"araacu"	-64.229965	-35.883907
"araacu"	-48.38179	-10.687796
"araacu"	-55.9648	-20.0956
"araacu"	-58.508057	-27.065
"araacu"	-43.30401	-16.62906
"araacu"	-65.43079	-38.81612
"araacu"	-62.732	-24.224
"araacu"	-59.005714	-23.393963
"araacu"	-57.664	-28.961
"araacu"	-63.751728	-21.129562
"araacu"	-71.264755	5.248818
"araacu"	-45.99293	-14.818707
"araacu"	-62.75046	8.300882
"araacu"	-58.9398	-25.239895
"araacu"	-80.62205	28.01081
"araacu"	-64.55747	-25.392826
"araacu"	-59.540157	-26.642832
"araacu"	-56.66	-22.33
"araacu"	-66.43096	-32.6829
"araacu"	-65.31491	-33.135876
"araacu"	-70.68559	9.265739
"araacu"	-57.368843	-23.668251
"araacu"	-70.233665	4.862726
"araacu"	-45.243504	-7.558036
"araacu"	-64.3754	-33.106857
"araacu"	-63.528324	-31.655096
"araacu"	-71.269226	12.191809
"araacu"	-71.394074	3.821269
"araacu"	-64.53928	-31.464525
"araacu"	-69.15078	12.36809
"araacu"	-61.779556	7.998037
"araacu"	-60.300987	-20.099863
"araacu"	-55.790966	-20.477602
"araacu"	-62.63859	-16.505636
"araacu"	-72.083336	6.978889
"araacu"	-60.0836	-15.50086
"araacu"	-63.82988	-36.177532
"araacu"	-56.92025	-27.867432
"araacu"	-63.059784	-36.042522
"araacu"	-60.666695	-24.134308
"araacu"	-69.778305	6.067803
"araacu"	-57.4145	-28.2485
"araacu"	-64.45911	-26.76216
"araacu"	-62.853256	-35.221554
"araacu"	-80.137665	25.929214
"araacu"	-65.27289	-30.588572
"araacu"	-63.94974	-18.419218
"araacu"	-57.027885	-24.246983
"araacu"	-62.26597	-20.563055
"araacu"	-69.73662	10.670646
"araacu"	-57.373398	-19.035074
"araacu"	-45.33517	-9.831501
"araacu"	-62.094727	-39.697544
"araacu"	-60.015423	-22.749496
"araacu"	-61.806034	-38.129272
"araacu"	-62.71998	-37.76886
"araacu"	-66.42821	-32.31608
"araacu"	-62.604267	-27.300417
"araacu"	-58.654427	-34.236126
"araacu"	-64.82256	-38.820915
